code,criticality,name,descr
URG01,1,Low Priority,"Minor issue with no immediate impact"
URG02,2,Medium Priority,"Issue affects functionality but workaround available"
URG03,3,High Priority,"Major issue causing significant disruption"
URG04,4,Critical Priority,"System outage or data loss risk"
STS01,1,Open,"Newly created request or ticket"
STS02,2,In Progress,"Work is currently being performed"
STS03,3,Resolved,"Issue has been fixed and awaiting confirmation"
STS04,4,Closed,"Request or ticket has been completed"
CAT01,1,General Inquiry,"Customer has a general question or request"
CAT02,2,Technical Issue,"Problem related to system or application"
CAT03,3,Billing Issue,"Issue related to invoices or payments"
CAT04,2,Account Issue,"User account related problem"
CAT05,3,Security Issue,"Potential security concern identified"
CAT06,1,Feature Request,"Request for a new feature or enhancement"
PRY01,1,Low,"Low urgency and low business impact"
PRY02,2,Normal,"Standard priority request"
PRY03,3,High,"High urgency requiring fast resolution"
PRY04,4,Immediate,"Immediate attention required"